XLW-B,智能电子拉力试验机,1,1
BLD-200N,电子剥离试验机,1,1
XLW,智能电子拉力试验机,1,1
XLW-M,智能电子拉力试验机,1,1
XLW-PC,智能电子拉力试验机,1,1
XYD-15K,纸箱抗压试验机,1,1
XYD-45K,纸箱抗压试验机,1,1
150,纸箱抗压试验机,1,1
151,纸箱抗压试验机,1,1
NJY-20,扭矩仪,1,1
NLW-20,胶粘剂拉伸剪切试验机,1,1
i-STRENTEK 1100,智能电子拉力试验机,2,1
XLW-EC,智能电子拉力试验机,1,1
i-STRENTEK 1200,智能电子拉力试验机,2,1
i-MEDITEK 1300,医药包装性能测试仪,2,1
MED-01,医药包装性能测试仪,1,1
i-STRENTEK 1400,智能电子拉力试验机,2,1
XLW(G6),六工位拉力试验仪,1,1
MEGA 1500,六工位拉力试验仪,1,1
i-STRENTEK 1510,万能试验仪,2,1
PROCESS 1600,扭矩仪,1,1
i-BOXTEK 1700,纸箱抗压试验机,2,1
i-BOXTEK 1710,纸箱抗压试验机,2,1
MXD-01,摩擦系数仪,1,2
MXD-01A,摩擦系数仪,1,2
MXD-02,摩擦系数仪,1,2
COF-P01,斜面摩擦系数仪,1,2
FPT-F1,摩擦系数/剥离试验仪,1,2
i-COFTEK 3200,摩擦系数仪,2,2
i-COFTEK 3300,摩擦系数仪,2,2
i-COFTEK 3500,摩擦系数/剥离试验仪,2,2
W3-010,水蒸气透过率测试仪,1,31
i-HYDRO 7300,水蒸气透过率测试仪,2,31
W3-030,水蒸气透过率测试仪,1,31
i-HYDRO 7310,水蒸气透过率测试仪,2,31
W3-031,水蒸气透过率测试仪,1,31
W3-060,水蒸气透过率测试系统,1,31
i-HYDRO 7320,水蒸气透过率测试系统,2,31
W3-062,水蒸气透过率测试仪,1,31
W3-0120,水蒸气透过率测试仪,1,31
i-HYDRO 7330,水蒸气透过率测试仪,2,31
MEGA 7340,水蒸气透过率测试仪,2,31
Basic 201,氧气透过率测试仪,1,32
Basic 202,气体渗透测试仪,1,33
VAC-VBS,压差法气体渗透仪,1,33
i-GASTRA 7110,压差法气体渗透仪,2,33
VAC-V1,压差法气体渗透仪,1,33
i-GASTRA 7100,压差法气体渗透仪,2,33
CLASSIC 212,压差法气体渗透仪,1,33
VAC-V2,压差法气体渗透仪,1,33
VAC-V3,压差法气体渗透仪,1,33
G2-130,压差法容器气体透过率测试仪,1,33
BTY-B2P,透气性测试仪 ,1,33
CLASSIC 216,压差法气体渗透仪,1,33
i-GASTRA 7210,气体渗透测试仪,2,33
G2-131,气体渗透测试仪,1,33
i-GASTRA 7200,气体渗透测试仪,2,33
G2-132,气体渗透测试仪,1,33
i-OXTRA 7700,氧气透过率测试仪,2,32
OX2-230,氧气透过率测试仪,1,32
i-OXTRA 7600,氧气透过率测试仪,2,32
OX2-231,氧气透过率测试仪,1,32
Basic 301,水蒸气透过率测试仪,1,34
Basic 302,水蒸气透过率测试仪,1,35
i-HYDRO 7500,水蒸气透过率测试仪,2,34
W3-330,水蒸气透过率测试仪,1,34
TSY-W3,电解法水蒸气透过率测试仪,1,34
i-HYDRO 7900,水蒸气透过率测试仪,2,35
W3-230,水蒸气透过率测试仪,1,35
i-HYDRO 7400,水蒸气透过率测试仪,2,36
W3-130,水蒸气透过率测试仪,1,36
OR2-410,有机气体透过率测试系统,1,39
i-SEPAMATE 7800,膜分离测试分析仪,2,39
G2-110,膜分离测试分析仪,1,39
i-GASMATE 7810,有机气体渗透测试分析仪,2,39
i-GASMATE 7820,混合气体渗透测试分析仪,2,39
MGT-01,混合气体渗透测试分析仪,1,39
i-GASMATE 7830,膜分离渗透测试分析仪,2,39
HST-H6,热封试验仪,1,4
HST-H3,热封试验仪,1,4
GHS-03,双五点梯度热封仪,1,4
CLASSIC 513,梯度热封仪,1,4
PSST-100,便携式热封强度仪,1,4
HTT-L1,热粘拉力试验仪,1,4
RSY-R2,热缩试验仪,1,4
i-THERMOTEK 2400,热封与热粘性能试验仪,2,4
